Index,Runs,Opposition,Ground,Date,Inns,Position,Dismissal,Match_ID,BF,4s,6s,SR,Match_Type
238,24,v Australia,Guwahati,08-11-2009,1,5,Lbw,ODI # 2925,77,1,0,31.16,ODI
239,110,v Sri Lanka,Ahmedabad,16-11-2009,1,7,Caught,Test # 1933,159,10,1,69.18,Test
240,DNB,v Sri Lanka,Ahmedabad,16-11-2009,3,DNB,DNB,Test # 1933,0,0,0,0,Test
241,4,v Sri Lanka,Kanpur,24-11-2009,1,7,Bowled,Test # 1935,15,0,0,26.66,Test
242,100,v Sri Lanka,Brabourne,02-12-2009,2,7,Not Out,Test # 1937,154,3,6,64.93,Test
243,9,v Sri Lanka,Nagpur,09-12-2009,2,3,Caught,T20I # 126,12,0,0,75,T20
244,46,v Sri Lanka,Mohali,12-12-2009,2,3,Bowled,T20I # 127,28,3,2,164.28,T20
245,72,v Sri Lanka,Rajkot,15-12-2009,1,3,Caught,ODI # 2932,53,7,3,135.84,ODI
246,107,v Sri Lanka,Nagpur,18-12-2009,1,5,Caught,ODI # 2933,111,8,2,96.39,ODI
247,DNB,v Sri Lanka,Delhi,27-12-2009,DNB,DNB,DNB,ODI # 2936,0,0,0,0,ODI
248,37,v Sri Lanka,Mirpur,05-01-2010,1,5,Caught,ODI # 2938,70,3,0,52.85,ODI
249,101,v Bangladesh,Mirpur,07-01-2010,2,5,Not Out,ODI # 2939,107,9,0,94.39,ODI
250,DNB,v Sri Lanka,Mirpur,10-01-2010,2,DNB,DNB,ODI # 2941,0,0,0,0,ODI
251,32,v Bangladesh,Mirpur,11-01-2010,2,5,Caught,ODI # 2942,35,3,0,91.42,ODI
252,14,v Sri Lanka,Mirpur,13-01-2010,1,5,Caught,ODI # 2943,19,3,0,73.68,ODI
253,89,v Bangladesh,Mirpur,24-01-2010,2,6,Stumped,Test # 1950,167,9,2,53.29,Test
254,DNB,v Bangladesh,Mirpur,24-01-2010,4,DNB,DNB,Test # 1950,0,0,0,0,Test
255,25,v South Africa,Nagpur,06-02-2010,3,6,Caught,Test # 1951,112,3,0,22.32,Test
256,6,v South Africa,Nagpur,06-02-2010,2,6,Caught,Test # 1951,29,1,0,20.68,Test
257,132,v South Africa,Eden Gardens,14-02-2010,2,8,Not Out,Test # 1952,187,12,3,70.58,Test
258,26,v South Africa,Jaipur,21-02-2010,1,4,Caught,ODI # 2961,29,2,0,89.65,ODI
